Starting training on cuda...
Epoch 1/100 - Loss: 2.7179
Epoch 2/100 - Loss: 1.8629
Epoch 3/100 - Loss: 1.6611
Epoch 4/100 - Loss: 1.5058
Epoch 5/100 - Loss: 1.3862
Epoch 6/100 - Loss: 1.2388
Epoch 7/100 - Loss: 1.0861
Epoch 8/100 - Loss: 0.9774
Epoch 9/100 - Loss: 0.8957
Epoch 10/100 - Loss: 0.8353
Epoch 11/100 - Loss: 0.7897
Epoch 12/100 - Loss: 0.7502
Epoch 13/100 - Loss: 0.7114
Epoch 14/100 - Loss: 0.6776
Epoch 15/100 - Loss: 0.6403
Epoch 16/100 - Loss: 0.6183
Epoch 17/100 - Loss: 0.5987
Epoch 18/100 - Loss: 0.5784
Epoch 19/100 - Loss: 0.5615
Epoch 20/100 - Loss: 0.5477
Epoch 21/100 - Loss: 0.5352
Epoch 22/100 - Loss: 0.5194
Epoch 23/100 - Loss: 0.5084
Epoch 24/100 - Loss: 0.4979
Epoch 25/100 - Loss: 0.4917
Epoch 26/100 - Loss: 0.4803
Epoch 27/100 - Loss: 0.4698
Epoch 28/100 - Loss: 0.4619
Epoch 29/100 - Loss: 0.4577
Epoch 30/100 - Loss: 0.4437
Epoch 31/100 - Loss: 0.4409
Epoch 32/100 - Loss: 0.4305
Epoch 33/100 - Loss: 0.4211
Epoch 34/100 - Loss: 0.4134
Epoch 35/100 - Loss: 0.4098
Epoch 36/100 - Loss: 0.4038
Epoch 37/100 - Loss: 0.3887
Epoch 38/100 - Loss: 0.3816
Epoch 39/100 - Loss: 0.3758
Epoch 40/100 - Loss: 0.3737
Epoch 41/100 - Loss: 0.3650
Epoch 42/100 - Loss: 0.3619
Epoch 43/100 - Loss: 0.3482
Epoch 44/100 - Loss: 0.3442
Epoch 45/100 - Loss: 0.3388
Epoch 46/100 - Loss: 0.3378
Epoch 47/100 - Loss: 0.3222
Epoch 48/100 - Loss: 0.3159
Epoch 49/100 - Loss: 0.3081
Epoch 50/100 - Loss: 0.3051
Epoch 51/100 - Loss: 0.2968
Epoch 52/100 - Loss: 0.2884
Epoch 53/100 - Loss: 0.2808
Epoch 54/100 - Loss: 0.2738
Epoch 55/100 - Loss: 0.2651
Epoch 56/100 - Loss: 0.2597
Epoch 57/100 - Loss: 0.2538
Epoch 58/100 - Loss: 0.2421
Epoch 59/100 - Loss: 0.2382
Epoch 60/100 - Loss: 0.2246
Epoch 61/100 - Loss: 0.2192
Epoch 62/100 - Loss: 0.2093
Epoch 63/100 - Loss: 0.2066
Epoch 64/100 - Loss: 0.1951
Epoch 65/100 - Loss: 0.1828
Epoch 66/100 - Loss: 0.1785
Epoch 67/100 - Loss: 0.1720
Epoch 68/100 - Loss: 0.1579
Epoch 69/100 - Loss: 0.1522
Epoch 70/100 - Loss: 0.1380
Epoch 71/100 - Loss: 0.1320
Epoch 72/100 - Loss: 0.1251
Epoch 73/100 - Loss: 0.1132
Epoch 74/100 - Loss: 0.1045
Epoch 75/100 - Loss: 0.0995
Epoch 76/100 - Loss: 0.0859
Epoch 77/100 - Loss: 0.0778
Epoch 78/100 - Loss: 0.0749
Epoch 79/100 - Loss: 0.0626
Epoch 80/100 - Loss: 0.0540
Epoch 81/100 - Loss: 0.0432
Epoch 82/100 - Loss: 0.0372
Epoch 83/100 - Loss: 0.0326
Epoch 84/100 - Loss: 0.0249
Epoch 85/100 - Loss: 0.0191
Epoch 86/100 - Loss: 0.0183
Epoch 87/100 - Loss: 0.0139
Epoch 88/100 - Loss: 0.0128
Epoch 89/100 - Loss: 0.0104
Epoch 90/100 - Loss: 0.0084
Epoch 91/100 - Loss: 0.0071
Epoch 92/100 - Loss: 0.0055
Epoch 93/100 - Loss: 0.0051
Epoch 94/100 - Loss: 0.0044
Epoch 95/100 - Loss: 0.0042
Epoch 96/100 - Loss: 0.0043
Epoch 97/100 - Loss: 0.0042
Epoch 98/100 - Loss: 0.0039
Epoch 99/100 - Loss: 0.0038
Epoch 100/100 - Loss: 0.0041
Phase 1 Complete. Base model saved to ./pretrained/resnet50_base.pt
